OPENUSDT,0.43157,0.44%
USDEUSDT,1.0008,-0.01%
PUMPUSDT,0.006912,0.83%
ZKCUSDT,0.34603,0.91%
SKYUSDT,0.07028,0.16%
0GUSDT,2.5449,0.75%
XPLUSDT,0.9373,0.31%
2ZUSDT,0.585161,0.05%
BGBUSDT,5.252,0.04%
RACAUSDT,0.00005557,0.20%
GODSUSDT,0.10891,-0.21%
WILDUSDT,0.2317,-0.39%
CROUSDT,0.21463,0.41%
LOOKSUSDT,0.01407,0.00%
BABYDOGEUSDT,1.268e-9,0.08%
TLOSUSDT,0.0478,0.21%
WEMIXUSDT,0.6927,-0.01%
RSS3USDT,0.0387,0.00%
PSTAKEUSDT,0.02159,-0.14%
SDUSDT,0.5465,-0.13%
XDCUSDT,0.07602,0.01%
AURORAUSDT,0.0783,0.00%
NFTUSDT,4.31e-7,0.00%
NYMUSDT,0.055,0.00%
VTUSDT,0.00308,0.00%
GALFANUSDT,1.361,-0.44%
LATUSDT,0.002966,0.00%
DAOUSDT,0.1163,-0.09%
CSPRUSDT,0.009748,-0.02%
ZIGUSDT,0.11111,0.00%
INTERUSDT,0.4622,0.00%
AFCUSDT,0.3684,-0.19%
SWEATUSDT,0.002158,-0.05%
ETHWUSDT,1.463,-0.61%
ARGUSDT,0.7975,-0.03%
XCNUSDT,0.011978,0.00%
XPRUSDT,0.006437,0.16%
OASUSDT,0.00891,-0.67%
GEARUSDT,0.0035,0.06%
ORAIUSDT,2.29,-0.30%
COREUSDT,0.4025,0.27%
XAUTUSDT,3831.8,-0.08%
PRIMEUSDT,1.602,-0.25%
ELONUSDT,1.004e-7,-0.30%
VELOUSDT,0.01333,-0.07%
FONUSDT,1.3638,0.13%
GFALUSDT,0.003745,-0.27%
RONUSDT,0.4755,-0.17%
AIDOGEUSDT,9.1e-11,0.44%
STETHUSDT,4385.62,-0.04%
PCIUSDT,0.09814,0.00%
KASUSDT,0.07952,-0.19%
BITCOINUSDT,0.09092,-0.74%
MOGUSDT,8.198e-7,-0.01%
MXUSDT,2.6336,-0.12%
AZITUSDT,0.01172,0.00%
TELUSDT,0.004458,-1.26%
SDEXUSDT,0.0043,0.00%
AITECHUSDT,0.02897,0.35%
GOMININGUSDT,0.4543,0.07%
MAXEXCHANGEUSDT,0.3533,0.00%
MCADEUSDT,0.0105,-0.28%
PYUSDUSDT,0.9992,0.00%
CBKUSDT,0.4831,0.19%
ORBSUSDT,0.01643,-0.12%
BSVUSDT,27.53,0.44%
SATSUSDT,3.85e-8,0.26%
NAKAUSDT,0.2332,-0.34%
RATSUSDT,0.00002789,-0.18%
HOLDUSDT,1.721,-0.17%
MYROUSDT,0.02029,0.25%
MYRIAUSDT,0.000638,0.47%
CTCUSDT,0.5853,-0.12%
LMWRUSDT,0.07486,0.08%
MBXUSDT,0.1389,0.00%
COQUSDT,4.78e-7,-0.42%
SNEKUSDT,0.004045,-0.34%
SWCHUSDT,0.1844,0.00%
ELAUSDT,1.892,0.11%
SOLOUSDT,0.27904,0.00%
OORTUSDT,0.0599,0.00%
UPCUSDT,2.667,0.08%
PROPSUSDT,0.02162,-1.01%
POKTUSDT,0.02456,0.00%
PONKEUSDT,0.08967,-0.63%
SAROSUSDT,0.305415,-0.31%
ZETAUSDT,0.1699,-0.06%
TRACUSDT,0.3962,0.25%
NAVXUSDT,0.0468,-0.40%
MAVIAUSDT,0.1272,0.08%
HTXUSDT,0.000002222,0.05%
MLUSDT,0.01949,0.00%
ICEUSDT,0.005796,-0.02%
MAPOUSDT,0.004496,0.00%
WENUSDT,0.0000341,-1.45%
NESSUSDT,0.04388,0.00%
SCAUSDT,0.1007,-0.49%
BRETTUSDT,0.0445,0.00%
CREOUSDT,0.00404,0.00%
KLVUSDT,0.002885,0.00%
SLERFUSDT,0.0773,0.00%
ZKJUSDT,0.136,-0.37%
ALEUSDT,0.5222,-0.02%
DEGENUSDT,0.002981,0.07%
AEROUSDT,1.1223,-0.15%
IAGUSDT,0.119,0.00%
MEWUSDT,0.002734,-0.04%
MOEWUSDT,0.000535,-0.19%
MASAUSDT,0.01237,0.00%
MASUSDT,0.00548,0.00%
PRCLUSDT,0.07283,0.12%
AQTUSDT,0.928,0.00%
MERLUSDT,0.28439,0.51%
ALPHUSDT,0.1624,0.06%
SAFEUSDT,0.3736,-0.03%
ZBCNUSDT,0.004036,0.02%
KUBUSDT,1.5415,0.00%
ALUSDT,0.0606,0.00%
ZENTUSDT,0.009381,0.22%
GAME2USDT,0.00297,-0.03%
DRIFTUSDT,0.8759,0.22%
DOGUSDT,0.002509,0.64%
WUSDUSDT,1,0.01%
TAIKOUSDT,0.36,0.00%
ULTIUSDT,0.001527,-0.07%
ATHUSDT,0.05131,0.16%
NPCUSDT,0.01809,-0.50%
LNQUSDT,0.01932,0.00%
BLASTUSDT,0.002031,-0.44%
SWGTUSDT,0.0629,-0.16%
QUBICUSDT,0.000001704,0.00%
